	GeneA	GeneB	GeneC	GeneD	GeneE
AT1	8.1425	47.62995	4.57123	127.08062	143.23473
AT2	1.09192	15.61467	0.25388	87.89195	11.88292
AT3	0	66.94517	1.07998	31.34413	0
AT4	0	0.37775	1.13324	83.10395	1.51098
AT5	0	5.56817	1.18053	108.52049	0.11573
AT6	10.83546	14.54997	29.92208	286.90423	162.23148
AT7	2.28588	155.43987	0	36.57409	123.43755
AT8	11.51	3.33703	9.98882	199.31208	24.6491
AT9	6.06691	54.60218	6.06691	86.95903	0
AT10	69.24097	17.05577	0.17796	83.07637	0
AT11	96.73295	3.52559	3.35731	77.61542	5.24119
AT12	15.92116	9.17697	0.86065	52.11702	15.09619
AT13	40.13023	18.41706	2.34155	381.08423	97.20965
AT14	32.32301	73.95752	0.31384	125.48575	19.64204
AT15	31.45475	80.36244	1.05866	84.28905	16.93856
AT16	11.81537	13.35095	1.26415	260.13687	0.15802
AT17	53.02819	36.29957	5.42972	222.46247	6.4904
AT18	40.956	87.03151	0	129.26739	15.3585
AT19	22.96848	2.89747	3.1764	165.65715	40.8785
AT20	16.39681	11.21018	7.33397	288.81621	45.12958
AT21	36.97338	52.28867	8.73811	98.55937	22.17683
AT22	10.40087	82.84207	3.94095	31.25957	8.98315
AT23	39.70261	6.34793	4.73539	143.80563	22.30782
AT24	20.29125	240.73659	0.10418	169.33037	92.48628
AT25	37.14641	191.62381	0	174.84637	41.6089
AT26	13.58315	310.71447	33.95787	37.35365	71.31152
AT27	4.58569	136.99573	2.29285	121.48914	7.45149
AT28	6.20996	8.92682	7.37433	334.17346	20.57049
