	GeneA	GeneB	GeneC	GeneD	GeneE
PT1	11.97826	20.96196	11.97826	103.3125	1656.74325
PT2	14.86016	44.58047	19.81354	156.03163	1553.87693
PT3	12.44513	51.79372	22.32803	108.52889	1302.16361
PT4	0	0	0	164.53678	869.34359
PT5	0	130.86244	0	0	515.27087
PT6	0	0	0	21.31393	176.60116
PT7	0	0	0	266.44283	1546.41326
PT8	0	11.48543	18.37668	52.83296	5.74271
PT9	0	0	31.72141	87.76258	62.38545
PT10	0	0	0	79.63176	0
PT11	28.54179	0	0	308.2513	296.83459
PT12	0	0	0	102.12554	341.48226
PT13	0	0	0	74.13121	58.52464
PT14	0	0	0	83.36302	0
PT15	0	0	117.00174	75.83446	0
PT16	0	0	160.65122	11.75497	0
PT17	0	0	0	83.8242	0
PT18	3.24938	0	0	0	0
PT19	0	0	0	150.24443	0
PT20	0.26358	17.66007	10.27974	191.88848	71.43102
PT21	2.76679	22.13432	4.68226	127.9108	1.27698
PT22	0	25.21571	20.00812	145.5385	0.82225
PT23	0	0.44109	3.08761	109.169	0
PT24	0	0	44.3102	179.25491	0
PT25	0	0	0	130.84333	0
PT26	0	0	0	16.97616	0
PT27	0	0	0	0	0
PT28	1.34387	0	24.18973	139.7629	6.71937
PT29	0	0	0	111.71508	90.50335
PT30	0	0	0	68.09328	40.85597
PT31	5.24534	0	0	176.59322	0
PT32	5.93395	0	7.2526	94.94318	1.97798
PT33	7.82212	1.56442	28.15964	140.79819	115.7674
PT34	0	4.34948	17.39791	90.46914	132.22412
PT35	6.60342	7.9241	7.9241	139.99252	3.96205
PT36	0	0	0	44.28872	0
PT37	0	1.54499	0	1.54499	0
PT38	0	0	0	34.54601	0
PT39	0	13.58147	92.98083	104.99521	479.00798
PT40	3.85444	0	97.13183	158.03195	770.11667
PT41	0.46727	0.93455	0	104.66929	0
PT42	16.25207	0	110.96238	132.8186	123.29153
PT43	0	0	26.92171	137.79663	54.19764
PT44	13.04746	92.51832	103.19351	96.07672	303.64987
PT45	0	1.75533	3.51067	128.13945	43.0057
PT46	13.77522	0	0	26.01986	64.28436
PT47	18.03441	0	16.53154	88.66917	329.87937
PT48	10.82019	0	72.85594	46.88748	1198.8769
PT49	0.35448	6.02612	7.79851	31.5485	938.6566
PT50	6.25401	0	18.76204	56.28612	571.38945
PT51	0	0	0	233.83746	1317.53579
PT52	0	0	0	21.13063	1519.29209
PT53	0	0	0	0	0
PT54	0	0	0	322.03928	819.22273
PT55	2.56708	0	23.61717	31.31842	1012.45767
PT56	0	0	0	1.44594	0
